antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'frozen vegetables'}),frozenset({'canned beer'}),0.028002405934638777,0.04691572545612511,0.0013366303548753592,0.0477326968973747,1.0174135949792273,1.0,2.2877165934877958e-05,1.0008579223906857,0.017608635863586325,0.0181653042688465,0.000857186990773273,0.03811136269370159
frozenset({'sausage'}),frozenset({'soda'}),0.06034886052262247,0.09710619528169484,0.005948005079195348,0.09856035437430785,1.0149749363405152,1.0,8.775684425780649e-05,1.0016131519172353,0.015701567919190695,0.03925893250992501,0.0016105538492056613,0.07990646762073961
frozenset({'soda'}),frozenset({'sausage'}),0.09710619528169484,0.06034886052262247,0.005948005079195348,0.06125258086717137,1.0149749363405152,1.0,8.775684425780649e-05,1.000962687434479,0.016340787930704752,0.03925893250992501,0.0009617615587116068,0.07990646762073961
frozenset({'ham'}),frozenset({'whole milk'}),0.0171088685424046,0.15792287642852368,0.0027400922274944863,0.16015624999999997,1.0141421789039355,1.0,3.821049484046884e-05,1.0026592727176649,0.014187702222435983,0.015903801396431345,0.002652219742063475,0.08875353761108759
frozenset({'whole milk'}),frozenset({'ham'}),0.15792287642852368,0.0171088685424046,0.0027400922274944863,0.017350825222175202,1.0141421789039355,1.0,3.821049484046884e-05,1.0002462289553393,0.016560201316298886,0.015903801396431345,0.00024616834156575263,0.08875353761108759
frozenset({'frankfurter'}),frozenset({'frozen vegetables'}),0.037759807525228894,0.028002405934638777,0.0010693042839002875,0.028318584070796467,1.0112911060890872,1.0,1.1938825565000009e-05,1.0003253927995066,0.011603174051951878,0.01652892561983471,0.00032528695347411367,0.03325237079434812
frozenset({'frozen vegetables'}),frozenset({'frankfurter'}),0.028002405934638777,0.037759807525228894,0.0010693042839002875,0.03818615751789976,1.011291106089087,1.0,1.1938825565000009e-05,1.0004432770395264,0.01148669554455467,0.01652892561983471,0.00044308063205543874,0.03325237079434812
frozenset({'yogurt'}),frozenset({'citrus fruit'}),0.08587850030074183,0.05313105660629553,0.004611374724319989,0.053696498054474705,1.0106423904265471,1.0,4.8559263577507145e-05,1.0005975265303537,0.011519609401323518,0.03431128791645947,0.0005971697056115884,0.07024447544233169
frozenset({'citrus fruit'}),frozenset({'yogurt'}),0.05313105660629553,0.08587850030074183,0.004611374724319989,0.08679245283018867,1.0106423904265471,1.0,4.8559263577507145e-05,1.0010008157863777,0.01112120393783901,0.03431128791645947,0.0009998151555865708,0.07024447544233169
frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.06957160997126245,0.04758404063356279,0.003341575887188398,0.04803073967339097,1.0093875810856028,1.0,3.107757137346375e-05,1.0004692368319488,0.009995690274385877,0.029359953024075156,0.00046901675201383206,0.059127729387257286
frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.04758404063356279,0.06957160997126245,0.003341575887188398,0.0702247191011236,1.0093875810856026,1.0,3.107757137346375e-05,1.0007024376139897,0.009764928776927946,0.029359953024075156,0.0007019445417405808,0.059127729387257286
frozenset({'hard cheese'}),frozenset({'yogurt'}),0.01470293390362895,0.08587850030074183,0.0012697988371315912,0.08636363636363636,1.0056490979837283,1.0,7.132923467005094e-06,1.0005309946957055,0.005701189145963997,0.01278600269179004,0.0005307128899759403,0.0505748142907676
frozenset({'yogurt'}),frozenset({'hard cheese'}),0.08587850030074183,0.01470293390362895,0.0012697988371315912,0.014785992217898832,1.0056490979837283,1.0,7.132923467005094e-06,1.0000843048450527,0.006145096620774031,0.01278600269179004,8.429773834499324e-05,0.0505748142907676
frozenset({'berries'}),frozenset({'other vegetables'}),0.021787074784468355,0.12210118291786407,0.0026732607097507185,0.12269938650306748,1.0048992447977005,1.0,1.3033106247164247e-05,1.0006818684222947,0.004983944797431263,0.01893043066729768,0.0006814037945644609,0.07229660075016538
frozenset({'other vegetables'}),frozenset({'berries'}),0.12210118291786407,0.021787074784468355,0.0026732607097507185,0.021893814997263273,1.0048992447977005,1.0,1.3033106247164247e-05,1.000109129473294,0.005553440925700472,0.01893043066729768,0.00010911756535153103,0.07229660075016538
frozenset({'specialty bar'}),frozenset({'yogurt'}),0.013967787208447505,0.08587850030074183,0.0012029673193878234,0.0861244019138756,1.0028633664103663,1.0,3.434701406466404e-06,1.0002690755871464,0.0028956365881944958,0.012195121951219513,0.0002690032049510631,0.05006609200752146
frozenset({'yogurt'}),frozenset({'specialty bar'}),0.08587850030074183,0.013967787208447505,0.0012029673193878234,0.014007782101167316,1.002863366410366,1.0,3.434701406466404e-06,1.0000405630916693,0.0031234261019316848,0.012195121951219513,4.0561446371596376e-05,0.05006609200752146
frozenset({'sausage'}),frozenset({'salty snack'}),0.06034886052262247,0.018779656485998796,0.0011361358016440553,0.018826135105204873,1.002474945121639,1.0,2.804931707751663e-06,1.0000473704211548,0.002627395197054756,0.01456726649528706,4.736817730421899e-05,0.03966217787288714
frozenset({'salty snack'}),frozenset({'sausage'}),0.018779656485998796,0.06034886052262247,0.0011361358016440553,0.0604982206405694,1.0024749451216388,1.0,2.804931707751663e-06,1.0001589780043298,0.002516086123865268,0.01456726649528706,0.00015895273434138912,0.03966217787288714
frozenset({'domestic eggs'}),frozenset({'frankfurter'}),0.037091492347791216,0.037759807525228894,0.001403461872619127,0.03783783783783784,1.0020664912700312,1.0,2.894260743030279e-06,1.0000810989204083,0.002141667327675122,0.01910828025477707,8.109234390662944e-05,0.0375029897153791
frozenset({'frankfurter'}),frozenset({'domestic eggs'}),0.037759807525228894,0.037091492347791216,0.001403461872619127,0.03716814159292035,1.0020664912700312,1.0,2.894260743030279e-06,1.00007960813143,0.002143154803246504,0.01910828025477707,7.960179447996122e-05,0.0375029897153791
frozenset({'soda'}),frozenset({'grapes'}),0.09710619528169484,0.01443560783265388,0.001403461872619127,0.014452856159669649,1.0011948459126712,1.0,1.674919411475892e-06,1.000017501270359,0.0013217722322089874,0.012742718446601941,1.7500964069774212e-05,0.05583753919094593
frozenset({'grapes'}),frozenset({'soda'}),0.01443560783265388,0.09710619528169484,0.001403461872619127,0.09722222222222221,1.001194845912671,1.0,1.674919411475892e-06,1.0001285221495073,0.0012109000377801193,0.012742718446601941,0.00012850563368697483,0.05583753919094593
frozenset({'citrus fruit'}),frozenset({'beef'}),0.05313105660629553,0.03395041101383412,0.001804450979081735,0.033962264150943396,1.000349130886941,1.0,6.297696987149579e-07,1.0000122698489609,0.0003685927598971325,0.02115987460815047,1.2269698413426097e-05,0.043555935225078
frozenset({'beef'}),frozenset({'citrus fruit'}),0.03395041101383412,0.05313105660629553,0.001804450979081735,0.0531496062992126,1.000349130886941,1.0,6.297696987149579e-07,1.0000195909438707,0.0003612744532841628,0.02115987460815047,1.959056007327268e-05,0.043555935225078
frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.11000467820624206,0.03401724253157789,0.003742564993651006,0.034021871202916165,1.0001360683874942,1.0,5.091755010894553e-07,1.000004791693725,0.00015286583207310087,0.026679371129109102,4.791670764814375e-06,0.07202075878416929
frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.03401724253157789,0.11000467820624206,0.003742564993651006,0.11001964636542241,1.0001360683874942,1.0,5.091755010894553e-07,1.0000168185276441,0.0001408408942657731,0.026679371129109102,1.681824478603515e-05,0.07202075878416929
